dC1        dC2        P1         P2         P3         C1         C2         D          N          Stabile    Residuo          Eigenvalues 7D (Re + Im j)                                                                                    
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0.8023     0.7996     1.2612     1.4529     0.8523     0.0356     0.0356     2.8548     0.0076     SI         0.0000000006     -7.409661+0.000000j | -0.004297+0.069488j | -0.004297-0.069488j | -0.007168+0.031832j | -0.007168-0.031832j | +0.000000+0.000000j | -0.000000+0.000000j
1.4107     0.5992     2.2089     0.1963     0.3133     0.0368     0.0368     3.6977     0.0102     SI         0.0000011413     -7.156549+0.000000j | -0.009058+0.077001j | -0.009058-0.077001j | -0.002705+0.024857j | -0.002705-0.024857j | -0.000000+0.000000j | +0.000000+0.000000j
0.9258     0.6078     0.6167     0.2177     0.3300     0.0673     0.0673     5.1600     0.0411     SI         0.0000000004     -2.310689+0.000000j | -0.018769+0.180827j | -0.018769-0.180827j | -0.004637+0.074363j | -0.004637-0.074363j | +0.000000+0.000000j | -0.000000+0.000000j
1.0327     0.7692     2.8370     1.8489     0.9615     0.0092     0.0092     0.8329     0.0013     SI         0.0000004183     -13.133770+0.000000j | -0.003082+0.028556j | -0.003082-0.028556j | -0.007122+0.009445j | -0.007122-0.009445j | -0.000000+0.000000j | +0.000000+0.000000j
1.1653     0.6941     2.3510     0.8317     0.6449     0.0281     0.0281     2.6107     0.0056     SI         0.0000000002     -9.241955+0.000000j | -0.005763+0.062546j | -0.005763-0.062546j | -0.005243+0.023023j | -0.005243-0.023023j | -0.000000+0.000000j | -0.000000+0.000000j
0.6675     0.4379     0.1889     0.0434     0.1473     0.1040     0.1040     5.7450     0.1675     SI         0.0000000804     -0.029247+0.444968j | -0.029247-0.444968j | -0.344994+0.000000j | -0.002856+0.136355j | -0.002856-0.136355j | +0.000000+0.000000j | -0.000000+0.000000j
0.7098     0.8008     0.8406     1.2165     0.7799     0.0471     0.0471     3.5562     0.0126     SI         0.0000000001     -5.564921+0.000000j | -0.005123+0.084874j | -0.005123-0.084874j | -0.007463+0.043842j | -0.007463-0.043842j | -0.000000+0.000000j | +0.000000+0.000000j
1.4782     0.6101     3.2771     0.2691     0.3668     0.0243     0.0243     2.5337     0.0047     SI         0.0000009355     -10.621506+0.000000j | -0.007627+0.047856j | -0.007627-0.047856j | -0.003013+0.015675j | -0.003013-0.015675j | -0.000000+0.000000j | +0.000000+0.000000j
0.5524     0.6373     0.2239     0.2654     0.3643     0.0906     0.0906     5.3912     0.0739     SI         0.0000000000     -1.204794+0.000000j | -0.029506+0.202195j | -0.029506-0.202195j | -0.006190+0.118645j | -0.006190-0.118645j | -0.000000+0.000000j | -0.000000+0.000000j
1.4063     0.5645     1.5356     0.0806     0.2007     0.0464     0.0464     4.5715     0.0187     NO         0.0000082529     -4.734427+0.000000j | -0.012135+0.108292j | -0.012135-0.108292j | -0.001782+0.030955j | -0.001782-0.030955j | +0.000000+0.000000j | +0.000006+0.000000j
1.0583     0.6507     1.1297     0.3816     0.4368     0.0518     0.0518     4.4285     0.0197     SI         0.0000000003     -4.362834+0.000000j | -0.010300+0.122331j | -0.010300-0.122331j | -0.004630+0.048350j | -0.004630-0.048350j | +0.000000+0.000000j | +0.000000+0.000000j
1.0800     0.5749     0.7611     0.1426     0.2670     0.0624     0.0624     5.1666     0.0378     SI         0.0000000169     -2.533289+0.000000j | -0.018582+0.176256j | -0.018582-0.176256j | -0.003356+0.062886j | -0.003356-0.062886j | +0.000000+0.000000j | +0.000000+0.000000j
1.1811     0.6786     2.1486     0.6719     0.5796     0.0326     0.0326     3.0275     0.0073     SI         0.0000000008     -8.229086+0.000000j | -0.006460+0.071504j | -0.006460-0.071504j | -0.004903+0.026394j | -0.004903-0.026394j | +0.000000+0.000000j | +0.000000+0.000000j
0.5173     0.5452     0.1563     0.1320     0.2569     0.1057     0.1057     5.6155     0.1280     SI         0.0000000001     -0.534062+0.000000j | -0.052285+0.302638j | -0.052285-0.302638j | -0.004196+0.148101j | -0.004196-0.148101j | -0.000000+0.000000j | +0.000000+0.000000j
1.2794     0.5546     1.0551     0.0832     0.2040     0.0547     0.0547     5.0190     0.0292     SI         0.0000008458     -3.256908+0.000000j | -0.015748+0.147857j | -0.015748-0.147857j | -0.002092+0.044421j | -0.002092-0.044421j | -0.000000+0.000000j | +0.000001+0.000000j
1.0167     0.7733     2.7359     1.8657     0.9659     0.0102     0.0102     0.9108     0.0014     SI         0.0000002942     -12.864761+0.000000j | -0.003128+0.030325j | -0.003128-0.030325j | -0.007100+0.010337j | -0.007100-0.010337j | +0.000000+0.000000j | +0.000000+0.000000j
0.7724     0.8162     1.2477     1.6376     0.9049     0.0332     0.0332     2.6367     0.0067     SI         0.0000000030     -7.802495+0.000000j | -0.003831+0.063793j | -0.003831-0.063793j | -0.007411+0.029734j | -0.007411-0.029734j | -0.000000+0.000000j | +0.000000+0.000000j
1.1064     0.5601     0.7463     0.1137     0.2384     0.0628     0.0628     5.2356     0.0403     SI         0.0000000375     -2.392890+0.000000j | -0.019990+0.182956j | -0.019990-0.182956j | -0.002987+0.062225j | -0.002987-0.062225j | +0.000000+0.000000j | -0.000000+0.000000j
